MODEL,MAKE,MODEL,VEHICLE CLASS,MOTOR,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,CONSUMPTION,RANGE,RECHARGE,FUEL,CONSUMPTION,,,RANGE,CO2 EMISSIONS,CO2
2016,PORSCHE,CAYENNE S E-HYBRID,SUV - STANDARD,71,3.0,6,A8,B,5.0 (43.2 kWh/100 km),24,3,Z,11.3,9.8,10.6,758,162,8
2016,PORSCHE,PANAMERA S E-HYBRID,FULL-SIZE,71,3.0,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10.4,8.0,9.3,871,142,9
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"*In testing, this vehicle did not use any gasoline during electric mode operation. However, depending on how you drive the vehicle, you may use gasoline during electric mode operation following a full charge.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTE: Vehicle manufacturers are using an improved testing procedure, introduced for model year 2015, to determine the fuel consumption ratings of new light-duty vehicles. The improved testing produces higher fuel consumption ratings that are more representative",,,,,,,,,,,,,,,,,,
"of everyday driving. To help you compare vehicles from different model years, the ratings for 1995-2014 vehicles have been adjusted to reflect the improved testing.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Understanding the Table,,,,,,,,,,,,,,,,,,
Transmission,A = Automatic,,,,,,,,,,,,,,,,,
,AM = Automated manual,,,,,,,,,,,,,,,,,
,AS = Automatic with select shift,,,,,,,,,,,,,,,,,
,AV = Continuously variable,,,,,,,,,,,,,,,,,
,1 – 10 = Number of gears,,,,,,,,,,,,,,,,,
Fuel Type,B = Electricity,,,,,,,,,,,,,,,,,
,X = Regular gasoline,,,,,,,,,,,,,,,,,
,Z = Premium gasoline,,,,,,,,,,,,,,,,,
Consumption,The combined fuel consumption rating reflects 55 percent city and 45 percent highway driving. ,,,,,,,,,,,,,,,,,
,Le is gasoline litre equivalent. One litre of gasoline contains the energy equivalent to 8.9 kWh of electricity.,,,,,,,,,,,,,,,,,
Range,the estimated driving distance (in kilometres) on a fully charged battery or full tank of fuel,,,,,,,,,,,,,,,,,
Recharge time,the estimated time (in hours) to fully recharge the battery at 240 volts,,,,,,,,,,,,,,,,,
CO2 Emissions,"The vehicle's tailpipe emissions of carbon dioxide are shown in grams per kilometre for combined city and highway driving, and reflect a mix of electric mode and gasoline-only operation.",,,,,,,,,,,,,,,,,
CO2 Rating,the tailpipe emissions of carbon dioxide rated on a scale from 1 (worst) to 10 (best),,,,,,,,,,,,,,,,,
